species	mass
Acinonyx_jubatus	50577.92
Ailuropoda_melanoleuca	117999.99
Aotus_nancymaae	791.03
Balaenoptera_acutorostrata_scammoni	5587093.59
Bison_bison_bison	624577.07
Bos_mutus	500000
Bos_indicus	193000
Bos_taurus	618642.42
Bubalus_bubalis	929500.97
Callithrix_jacchus	290.21
Camelus_bactrianus	554515.91
Camelus_dromedarius	492714.47
Canis_lupus	31756.51
Capra_hircus	47386.47
Castor_canadensis	18124.41
Cavia_aperea	524.38
Cavia_porcellus	727.99
Cebus_capucinus	3005.99
Ceratotherium_simum_simum	2285939.43
Cercocebus_atys	6941.24
Chinchilla_lanigera	480.28
Chlorocebus_sabaeus	4800
Choloepus_hoffmanni	5893.5
Chrysochloris_asiatica	37.16
Colobus_angolensis	8990.31
Condylura_cristata	48.15
Cricetulus_griseus	22.5
Fukomys_damarensis	112.2
Dasypus_novemcinctus	3949.01
Delphinapterus_leucas	1381640.73
Dipodomys_ordii	50.4
Echinops_telfairi	152.25
Elephantulus_edwardii	49.69
Enhydra_lutris	27410.93
Eptesicus_fuscus	17.49
Equus_asinus	164998.49
Equus_caballus	403598.53
Equus_przewalskii	250000
Erinaceus_europaeus	777.95
Felis_catus	2884.8
Galeopterus_variegatus	1112.2
Gorilla_gorilla	112588.99
Heterocephalus_glaber	39.36
Hipposideros_armiger	49.99
Homo_sapiens	58540.63
Jaculus_jaculus	59.8
Leptonychotes_weddellii	400000
Lipotes_vexillifer	112138.32
Loxodonta_africana	3824539.93
Macaca_fascicularis	4569.32
Macaca_mulatta	6455.19
Macaca_nemestrina	7820.78
Notamacropus_eugenii	5278.48
Mandrillus_leucophaeus	14253.3
Manis_javanica	4861.71
Marmota_marmota_marmota	4059.15
Meriones_unguiculatus	57.75
Mesocricetus_auratus	98.6
Microcebus_murinus	69
Microtus_ochrogaster	42.5
Miniopterus_natalensis	10.43
Neomonachus_schauinslandi	222999.99
Monodelphis_domestica	93.45
Mus_caroli	14.26
Mus_musculus	19.3
Mus_pahari	22.8
Mus_spretus	16.67
Mustela_putorius	975.55
Myotis_brandtii	5.3
Myotis_davidii	5.3
Myotis_lucifugus	7.8
Nomascus_leucogenys	7320
Ochotona_princeps	157.63
Octodon_degus	203.27
Odobenus_rosmarus	1042996.25
Odocoileus_virginianus_texanus	75901.25
Orcinus_orca	5628758.66
Ornithorhynchus_anatinus	1484.25
Orycteropus_afer_afer	56175.2
Oryctolagus_cuniculus	1590.57
Otolemur_garnettii	811.17
Ovis_aries	39097.89
Pan_paniscus	35119.95
Pan_troglodytes	45000
Panthera_pardus	52399.99
Panthera_tigris	161914.66
Pantholops_hodgsonii	32733.12
Papio_anubis	17728.56
Peromyscus_maniculatus	19.98
Phascolarctos_cinereus	6528.74
Physeter_catodon	14540959.82
Piliocolobus_tephrosceles	8750
Pongo_abelii	39696.12
Procavia_capensis	2952.48
Propithecus_coquereli	4189.27
Pteropus_alecto	610.13
Pteropus_vampyrus	1027.54
Rattus_norvegicus	282.89
Rhinolophus_sinicus	12.2
Rhinopithecus_bieti	11000.54
Rhinopithecus_roxellana	13456.8
Rousettus_aegyptiacus	134
Saimiri_boliviensis	799.45
Sarcophilus_harrisii	8202.25
Sorex_araneus	9.18
Nannospalax_galili	124
Ictidomys_tridecemlineatus	174.91
Sus_scrofa	84471.54
Carlito_syrichta	115.91
Trichechus_manatus_latirostris	467324.83
Tupaia_belangeri	200
Tursiops_truncatus	281040.55
Ursus_maritimus	371703.81
Vicugna_pacos	47499.61
Panthera_tigris_altaica	295500
Canis_familiaris	40000
Odobenus_rosmarus_divergens	1012500
Enhydra_lutris_kenyoni	25850
Tupaia_chinensis	200
Camelus_ferus	475000
